Category,Feature/Section,Status,Rationale/Purpose,Details
Core Portfolio,Hero Section,DONE,Establishment of Authority,"Professional imagery, mission statement, and parallax effects."
Core Portfolio,Legacy (History),DONE,Demonstrates Experience,"20-year journey from single van to distribution leader."
Core Portfolio,Philosophy (Values),DONE,Operational Assurance,"Focus on Truth, Systems, Speed, and Impact."
Core Portfolio,Services,DONE,Technical Competence,"Cold Chain, Safe Storage, 24/7 Response."
Core Portfolio,Network (Reach),DONE,Demonstrates Scale,"Coverage of 100+ districts and 450+ cities."
Core Portfolio,Journey (Timeline),DONE,Visualizes Growth,"Milestones from 2003 to 2024 expansion."
Core Portfolio,Achievements,DONE,Social Proof (Quantified),"Counters for 34+ partners and 2.4k products."
Core Portfolio,Testimonials,DONE,Third-party Validation,"Quotes from medical professionals and GSK managers."
Core Portfolio,Vision 2030,DONE,Future Readiness,"Roadmap for digitalization and tracking."
Core Portfolio,Insights (Blog),DONE,Thought Leadership,"Industry knowledge and SME positioning."
Expansion,Partner Logo Grid,PENDING,Instant Credibility,"Visual marquee of major pharma brand logos."
Expansion,Tech Stack Overview,PENDING,Transparency,"Details on WMS (SAP/Oracle) and IT capabilities."
Expansion,CSR Section,PENDING,Social Impact,"Community health camps and disaster support."
Expansion,Sustainability,PENDING,Modern Standards,"Solar-powered storage and efficient routing."
Expansion,PDF Whitepapers,PENDING,Authority Building,"Downloadable SOPs and Cold Chain guides."
Expansion,Video Testimonials,PENDING,High Engagement,"Clips from satisfied pharmacists and hospital staff."
